brand,model,year,miles,used_car_price,past_owners,accident_reported,exterior,interior,msrp_car_price
kia,forte,2022,41406,15988,1,0,Gray,Black,19895.0
chevrolet,silverado 1500,2021,15138,38008,1,1,White,Black,38876.218
honda,civic,2020,37190,18998,1,0,Blue,Black,22517.941
honda,civic,2020,27496,19498,1,0,Black,Black,22517.941
honda,civic,2020,29026,21000,1,1,Silver,Black,22517.941
honda,accord,2019,4148,20998,1,1,Black,Black,27886.067
honda,civic,2020,50240,19498,1,1,Black,Black,22517.941
bmw,5 series,2013,56766,17998,3,0,White,Black,58306.25
honda,civic,2020,11140,20998,1,0,Black,Black,22517.941
honda,civic,2020,8506,22597,1,0,Gray,Black,22517.941
mercedes-benz,glc,2021,38760,29998,1,0,Black,Black,40050.0
porsche,macan,2020,27002,39998,2,0,White,Black,61725.0
honda,civic,2021,22850,21998,1,0,White,Black,22517.941
buick,cascada,2016,68660,17998,2,1,White,Beige,35065.0
bmw,3 series,2014,55079,17998,2,0,White,Black,40897.059
mercedes-benz,c-class,2018,83424,18285,2,1,White,Black,49298.378
honda,odyssey,2019,61318,26998,1,0,Black,Brown,36879.0
bmw,7 series,2015,57707,27998,3,0,White,Black,90662.5
mercedes-benz,glc,2020,38981,26518,1,1,Black,Black,40050.0
honda,cr-v,2020,74031,23998,1,0,Gray,Gray,27968.438
honda,civic,2020,16112,20998,1,0,White,Beige,22517.941
honda,cr-v,2019,17123,24498,1,1,Gray,Black,27968.438
honda,civic,2016,71406,16498,2,1,Gray,Gray,22517.941
chrysler,pacifica,2018,73428,19998,2,0,White,Black,31424.412
volkswagen,tiguan,2020,28897,20998,1,1,White,Black,31650.962
bmw,3 series,2015,60478,16998,2,1,Black,Black,40897.059
honda,cr-v,2022,23215,27798,1,0,White,Black,27968.438
nissan,sentra,2021,24044,20998,1,0,Black,Black,19146.842
volkswagen,tiguan,2019,50950,20998,1,0,Gray,Black,31650.962
toyota,camry,2020,36853,23998,1,1,Gray,Black,26952.895
chevrolet,malibu,2022,32668,19998,1,0,Gray,Gray,25704.737
volkswagen,tiguan,2021,50142,17998,1,0,Gray,Black,31650.962
toyota,highlander,2021,16462,35037,1,0,White,Beige,37219.773
kia,optima,2015,86935,15998,1,0,White,Beige,27312.353
dodge,charger,2016,120296,20998,1,0,Gray,Black,38835.714
toyota,corolla,2022,33167,20222,1,0,White,Black,20221.176
honda,civic,2020,11593,20698,1,0,Red,Black,22517.941
bmw,3 series,2015,78479,15998,2,0,White,Black,40897.059
honda,odyssey,2012,122285,14998,1,0,Gray,Gray,36879.0
toyota,tacoma,2015,87121,21499,2,1,Gray,Gray,30318.438
toyota,4runner,2021,25671,40998,1,0,Gray,Black,38221.346
ford,mustang,2015,107676,14300,2,0,Orange,Black,32520.625
ford,f-150,2023,131,60800,1,0,Gray,Black,40747.048
honda,cr-v,2013,76825,16998,1,0,Gray,Black,27968.438
honda,accord,2019,58575,21788,2,0,White,Black,27886.067
honda,accord,2021,34447,24498,1,0,Black,Black,27886.067
toyota,camry,2016,100359,16998,2,1,White,Black,26952.895
honda,pilot,2021,42840,28998,1,1,White,Black,36904.167
infiniti,qx60,2020,31907,28998,1,0,Blue,Beige,45890.0
volvo,xc60,2021,34656,33998,1,0,Blue,Brown,43620.37
honda,pilot,2017,97438,21670,1,0,Red,Black,36904.167
ford,explorer,2017,115951,15998,2,0,White,Beige,38451.304
chevrolet,equinox,2020,108281,15998,2,1,White,Black,27577.391
mercedes-benz,glc,2019,67648,22999,2,0,Black,Black,40050.0
mercedes-benz,gle,2021,21413,42762,1,0,Black,Black,73775.455
honda,accord,2023,2414,25998,1,0,White,Black,27886.067
honda,odyssey,2019,51617,28998,1,1,Silver,Brown,36879.0
bmw,3 series,2017,78006,17998,2,1,Gray,Black,40897.059
chevrolet,malibu,2022,36517,16499,1,0,Silver,Black,25704.737
nissan,sentra,2019,50045,16998,2,0,Gray,Black,19146.842
volvo,s90,2019,30202,26989,2,0,Black,Black,41773.8
bmw,x3,2021,12093,32998,1,0,Black,Black,42237.5
mercedes-benz,c-class,2017,46904,25998,3,1,White,Black,49298.378
mercedes-benz,gls,2019,22998,39999,1,1,Silver,Black,95550.0
ford,mustang,2014,84324,18481,2,1,Silver,Black,32520.625
toyota,camry,2018,13411,24998,1,1,Black,Black,26952.895
mitsubishi,outlander sport,2020,53961,15999,2,0,Black,Black,23059.286
volvo,xc90,2016,126749,19998,3,0,Black,Brown,50794.118
kia,forte,2021,37385,14999,1,0,White,Black,19895.0
mercedes-benz,e-class,2022,27642,41998,1,0,Gray,Black,61857.143
nissan,versa,2017,87358,8488,1,1,Gray,Black,14660.625
ford,edge,2017,89932,13998,2,0,Black,Black,34236.818
bmw,7 series,2019,66896,28624,1,0,Black,Black,90662.5
chevrolet,silverado 1500,2021,41233,32197,2,1,White,Black,38876.218
honda,civic,2016,88063,17998,3,1,Silver,Black,22517.941
bmw,4 series,2017,70468,20998,2,0,Gray,Black,48984.483
hyundai,sonata,2013,95775,13998,2,0,Silver,Gray,25707.639
chrysler,300,2021,63819,20599,1,0,Black,Black,38134.333
ford,fusion,2018,67207,16998,2,0,Gray,Black,28807.941
mazda,3,2016,48616,18998,1,0,Red,Black,22195.0
mercedes-benz,gla,2021,39860,26965,1,0,Silver,Black,38564.444
chevrolet,blazer,2020,23724,24998,1,1,Gray,Black,24151.429
nissan,altima,2021,58885,17993,1,0,Black,Black,26956.25
bmw,3 series,2016,77896,14621,2,1,White,Beige,40897.059
mazda,cx-9,2014,102507,10498,2,0,Silver,Black,34961.842
honda,s2000,2000,15600,39998,1,0,Black,Black,36019.286
toyota,tacoma,2019,48925,27555,2,0,Gray,Gray,30318.438
toyota,tacoma,2017,97372,21555,2,1,Gray,Gray,30318.438
mercedes-benz,gla,2022,2885,45999,1,0,Black,Black,38564.444
toyota,corolla,2021,44630,17000,2,1,Gray,Black,20221.176
honda,odyssey,2020,26469,31997,1,0,White,Gray,36879.0
ford,explorer,2022,10608,45828,1,0,White,Black,38451.304
ford,fusion,2015,83650,11995,1,0,White,Gray,28807.941
volvo,s60,2018,55196,18975,2,0,Gray,Black,40721.429
volkswagen,tiguan,2020,17193,19490,1,0,Black,Black,31650.962
chevrolet,traverse,2020,57826,28600,1,1,White,Black,36282.692
mercedes-benz,c-class,2020,30791,24791,1,1,Silver,Gray,49298.378
toyota,corolla,2021,11703,18782,1,0,Black,Gray,20221.176
acura,rdx,2021,44809,28250,1,0,White,Black,39232.5
honda,civic,2021,19299,18998,1,1,Gray,Black,22517.941
volvo,xc90,2021,30944,38749,1,0,Blue,Beige,50794.118
honda,civic,2021,20684,22500,1,0,White,Black,22517.941
maserati,quattroporte,2019,66469,28421,1,0,Blue,Brown,119415.385
chevrolet,equinox,2020,28980,19795,1,0,Black,Black,27577.391
hyundai,accent,2016,94267,6999,2,0,White,Gray,15911.667
ford,edge,2020,9494,26795,1,0,Gray,Black,34236.818
chevrolet,equinox,2021,64971,16289,1,0,Blue,Black,27577.391
volvo,xc90,2018,51994,24999,1,0,Silver,Black,50794.118
ford,fusion,2018,61962,14788,1,0,Blue,Black,28807.941
mercedes-benz,c-class,2020,15698,30006,1,0,Black,Beige,49298.378
toyota,rav4,2021,33636,24333,1,0,Red,Black,28789.167
chevrolet,silverado 1500,2023,6779,58890,1,0,Gray,Black,38876.218
mercedes-benz,e-class,2019,38783,29750,1,0,White,Black,61857.143
dodge,charger,2019,42526,18000,1,0,White,Black,38835.714
volkswagen,tiguan,2020,41266,18991,1,0,Gray,Black,31650.962
chevrolet,malibu,2018,84208,10995,3,0,White,Black,25704.737
ford,ranger,2019,45072,26495,1,0,Gray,Black,21340.135
chevrolet,tahoe,2018,33118,36295,1,0,Black,Black,54972.222
honda,civic,2020,18650,20683,1,0,Silver,Black,22517.941
toyota,tacoma,2023,6828,39500,1,0,Silver,Black,30318.438
chevrolet,camaro,2014,76071,13850,1,1,Black,Black,38991.667
toyota,corolla,2021,62758,16900,1,0,Black,Black,20221.176
toyota,camry,2020,68181,18988,1,1,Black,Gray,26952.895
kia,soul,2022,43839,14999,1,0,White,Black,18046.667
honda,civic,2012,100774,9900,2,0,Blue,Gray,22517.941
toyota,corolla,2022,32604,17599,1,0,Black,Black,20221.176
subaru,outback,2020,43468,22000,1,0,White,Gray,29622.25
ford,f-150,2021,66206,36475,1,0,Black,Black,40747.048
honda,hr-v,2020,32972,22143,1,0,Gray,Black,22315.0
ford,f-150,2014,99018,14495,1,0,White,Gray,40747.048
mercedes-benz,cla,2020,25905,36966,2,0,White,Black,38427.778
toyota,tacoma,2021,19950,33333,1,0,Green,Gray,30318.438
honda,accord,2014,54424,17498,3,0,Tan,Beige,27886.067
nissan,altima,2015,101629,12599,2,0,Black,Black,26956.25
ford,explorer,2020,31907,39998,1,0,Gray,Black,38451.304
honda,civic,2021,27185,25998,1,0,White,Black,22517.941
ford,fiesta,2014,97490,10998,3,1,Gray,Black,17126.429
nissan,sentra,2015,56977,14998,3,0,Black,Black,19146.842
toyota,venza,2014,113327,14599,4,1,Silver,Gray,33031.852
mercedes-benz,glc,2019,37682,26998,1,0,Black,Black,40050.0
honda,civic,2019,45246,21998,2,0,White,Black,22517.941
mercedes-benz,gle,2016,69891,22998,1,1,White,Gray,73775.455
volkswagen,tiguan,2019,73055,18998,1,0,White,Black,31650.962
mercedes-benz,cla,2023,9735,37815,1,0,White,Black,38427.778
bmw,i3,2016,62200,12999,3,0,White,Gray,42700.0
subaru,wrx,2019,38318,26298,4,0,Gray,Black,32863.0
kia,forte,2022,38804,15199,1,0,White,Black,19895.0
toyota,corolla,2021,21209,22993,1,1,Red,Black,20221.176
volkswagen,jetta,2019,19267,17991,1,0,White,Black,23953.525
ford,edge,2023,4706,34770,1,0,White,Black,34236.818
ford,edge,2020,23841,27995,1,0,White,Black,34236.818
toyota,corolla,2014,103439,12750,4,0,Gray,Black,20221.176
toyota,camry,2022,31535,21899,1,0,White,Black,26952.895
bmw,x5,2021,40003,36996,1,1,Gray,Brown,60308.333
bmw,x3,2021,47167,26698,1,0,Gray,Black,42237.5
honda,civic,2021,27790,22498,1,0,Black,Black,22517.941
mercedes-benz,e-class,2021,16386,35756,1,0,Black,Black,61857.143
honda,civic,2018,77068,14987,3,0,White,Gray,22517.941
chevrolet,silverado 1500,2018,20165,41000,1,0,Gray,Black,38876.218
toyota,camry,2022,31634,22100,1,0,Silver,Black,26952.895
toyota,corolla,2022,38484,18498,1,0,Blue,Black,20221.176
mercedes-benz,c-class,2020,26488,24990,2,0,Blue,Beige,49298.378
mercedes-benz,gle,2021,41592,36991,1,0,Black,Black,73775.455
kia,forte,2022,39844,15199,1,0,White,Black,19895.0
toyota,tacoma,2022,9629,40991,1,0,White,Black,30318.438
bmw,3 series,2017,86333,15600,2,0,Gray,Black,40897.059
mercedes-benz,gle,2021,40995,59888,1,0,White,Black,73775.455
audi,q5,2021,23982,33949,1,0,Black,Black,48255.0
toyota,corolla,2021,17471,17987,1,1,Gray,Black,20221.176
chevrolet,blazer,2021,33980,24986,1,0,White,Black,24151.429
maserati,granturismo,2014,52973,39999,2,0,Black,Beige,145993.0
mercedes-benz,c-class,2021,18741,30651,1,0,Blue,Beige,49298.378
toyota,camry,2020,64716,18700,1,0,Gray,Black,26952.895
toyota,corolla,2021,18446,19781,1,1,White,Black,20221.176
chevrolet,camaro,2011,138514,7000,2,1,White,Black,38991.667
mercedes-benz,cla,2020,37974,26374,1,1,Silver,Beige,38427.778
subaru,outback,2024,2455,31999,1,0,Gray,Gray,29622.25
audi,q3,2021,52381,22399,1,0,White,Black,36292.857
chevrolet,tahoe,2021,21756,62495,2,0,Black,Black,54972.222
toyota,corolla,2020,46357,16999,2,1,Black,Black,20221.176
ford,focus,2016,104788,7499,3,0,Silver,Black,21790.5
mercedes-benz,glc,2022,12483,35136,1,0,White,Black,40050.0
nissan,maxima,2017,90382,18998,1,0,White,Black,35799.167
nissan,altima,2016,84634,14998,2,1,White,Black,26956.25
hyundai,elantra,2013,113669,11599,1,0,White,Beige,20437.5
chevrolet,malibu,2022,28464,17991,1,0,White,Black,25704.737
audi,s3,2016,54042,25998,4,1,Blue,Black,45091.667
dodge,challenger,2022,27530,26700,1,0,Black,Black,39230.455
nissan,rogue,2021,28753,21239,1,0,Gray,Black,26121.0
nissan,altima,2015,93969,12998,2,1,Black,Black,26956.25
toyota,camry,2020,22440,29222,1,0,Blue,Black,26952.895
toyota,camry,2020,34491,24998,1,1,Blue,Black,26952.895
chevrolet,traverse,2017,60307,18998,1,0,Silver,Gray,36282.692
bmw,3 series,2020,31684,24696,1,1,Gray,Beige,40897.059
audi,q3,2018,34641,23998,1,0,White,Black,36292.857
toyota,highlander,2022,49766,39595,1,0,Silver,Black,37219.773
honda,civic,2017,79022,19998,2,1,Red,Black,22517.941
mercedes-benz,c-class,2021,12194,30258,1,0,White,Beige,49298.378
bmw,3 series,2018,56467,22998,2,1,White,Black,40897.059
toyota,camry,2021,65107,20666,1,0,Black,Black,26952.895
volkswagen,tiguan,2017,57467,17998,2,0,Black,Black,31650.962
bmw,3 series,2020,60921,22000,1,0,Black,Beige,40897.059
hyundai,sonata,2015,57114,9993,1,1,Red,Beige,25707.639
toyota,rav4,2021,24639,27998,1,0,Black,Black,28789.167
toyota,corolla,2021,74700,16642,2,0,White,Black,20221.176
kia,optima,2016,75067,15998,2,1,Gray,Gray,27312.353
ford,f-150,2023,189,44700,1,0,Red,Black,40747.048
hyundai,elantra,2020,28846,18998,1,0,White,Beige,20437.5
toyota,corolla,2022,53358,17888,1,0,Blue,Black,20221.176
kia,forte,2021,17253,17631,1,0,White,Black,19895.0
audi,allroad,2013,86955,15998,1,1,Black,Black,44675.0
bmw,x3,2014,58663,18998,1,0,Gray,Black,42237.5
nissan,pathfinder,2019,61819,17988,3,0,Silver,Black,35520.0
mercedes-benz,c-class,2019,32753,32446,2,0,White,Black,49298.378
mazda,3,2018,67973,17998,2,1,Red,Black,22195.0
bmw,4 series,2019,53278,28998,2,0,White,White,48984.483
mercedes-benz,e-class,2012,97196,11850,3,1,Silver,Black,61857.143
dodge,charger,2016,89836,22998,1,1,Black,Black,38835.714
bmw,3 series,2013,77674,12900,4,1,Black,Beige,40897.059
honda,civic,2020,36858,21998,1,0,Blue,Black,22517.941
bmw,5 series,2020,12563,30996,1,0,White,Black,58306.25
dodge,charger,2019,42531,18700,1,0,White,Black,38835.714
honda,civic,2022,17593,27419,1,0,Black,Black,22517.941
gmc,canyon,2016,81653,24998,2,0,Silver,Black,28899.167
honda,civic,2013,99911,10987,2,1,Gray,Black,22517.941
dodge,grand caravan,2019,89118,12650,2,0,Gray,Black,27101.25
porsche,macan,2021,35286,48998,1,0,Black,Black,61725.0
bmw,x3,2020,25170,27888,1,0,Black,Black,42237.5
mercedes-benz,c-class,2021,27643,30806,1,0,White,Black,49298.378
bmw,x1,2018,52323,21998,1,0,Black,Black,34383.333
mercedes-benz,glc,2020,44407,25995,1,0,Black,Black,40050.0
volkswagen,jetta,2019,39057,15190,1,0,Black,Gray,23953.525
subaru,outback,2023,4001,31989,1,0,Black,Beige,29622.25
chevrolet,silverado 1500,2021,23211,35498,1,0,Silver,Black,38876.218
kia,forte,2023,1292,23998,1,0,Black,Black,19895.0
volkswagen,cc,2015,65361,11500,3,0,Silver,Black,35854.375
nissan,frontier,2022,21865,28988,1,0,Gray,Black,27461.711
volkswagen,tiguan,2020,52955,20998,1,0,Silver,Black,31650.962
subaru,wrx,2018,12876,28598,1,0,White,Black,32863.0
nissan,sentra,2017,40583,15998,2,0,Red,Black,19146.842
hyundai,accent,2017,89257,7999,3,1,Blue,Gray,15911.667
nissan,rogue,2016,40259,17998,2,1,Gray,Black,26121.0
ford,f-150,2022,12958,44598,0,0,Blue,Black,40747.048
bmw,x5,2021,38529,37986,1,0,Black,Black,60308.333
toyota,prius prime,2021,21005,27715,1,0,Silver,Black,29666.667
subaru,forester,2021,37997,26449,1,0,White,Brown,27336.667
toyota,camry,2014,90348,15998,1,0,White,Gray,26952.895
buick,encore,2019,26251,18798,1,0,Red,Black,27877.5
volvo,xc90,2021,30632,45787,1,0,Gray,Beige,50794.118
mercedes-benz,c-class,2020,28001,27680,2,0,Silver,Gray,49298.378
chevrolet,silverado 1500,2023,15933,53750,1,0,Blue,Black,38876.218
mercedes-benz,gla,2020,26763,22591,1,0,White,Beige,38564.444
chevrolet,corvette,2016,26660,64250,5,0,White,Black,71505.333
ford,mustang,2021,22166,26998,2,0,Black,Black,32520.625
dodge,challenger,2021,25643,21959,1,0,White,Black,39230.455
honda,civic,2020,12070,21688,1,0,Red,Black,22517.941
honda,accord,2018,19668,23998,1,0,Gray,Black,27886.067
honda,cr-v,2020,25927,24998,1,0,Black,Black,27968.438
ford,f-150,2010,269638,6666,7,0,White,Black,40747.048
subaru,outback,2020,15118,26949,1,0,Silver,Gray,29622.25
acura,mdx,2013,91230,16998,1,1,Blue,Gray,50332.059
ford,fusion,2019,20687,22998,1,0,White,Black,28807.941
cadillac,xt5,2018,86034,21998,1,0,Black,Black,50010.833
nissan,sentra,2020,28711,19998,1,1,Silver,Black,19146.842
toyota,highlander,2013,74780,20998,2,0,Gray,Gray,37219.773
subaru,crosstrek,2021,20653,25299,1,1,Red,Black,24175.0
subaru,outback,2020,28693,23889,1,0,Black,Gray,29622.25
bmw,x5,2017,38477,28998,2,1,Gray,Black,60308.333
mazda,cx-5,2022,10225,29998,2,0,Gray,Black,25403.966
honda,civic,2021,25387,19649,1,0,Silver,Gray,22517.941
nissan,sentra,2022,22045,17799,1,0,Black,Black,19146.842
nissan,altima,2020,45891,17998,2,0,Gray,Black,26956.25
porsche,macan,2020,18629,39998,1,0,White,Black,61725.0
honda,hr-v,2022,33778,20200,1,0,Black,Black,22315.0
chevrolet,camaro,2022,33204,23900,1,0,Black,Gray,38991.667
mercedes-benz,cla,2021,26118,24991,1,0,White,Black,38427.778
mercedes-benz,e-class,2020,4339,39460,1,0,White,Black,61857.143
volkswagen,passat,2021,63535,17987,1,0,White,Black,27465.889
mercedes-benz,c-class,2020,29189,28946,2,0,White,Beige,49298.378
bmw,5 series,2023,14651,44998,1,0,White,Black,58306.25
honda,accord,2021,26514,28994,1,1,Gray,Black,27886.067
mercedes-benz,c-class,2020,25286,26991,1,0,Blue,Beige,49298.378
mercedes-benz,gla,2021,37490,28757,1,0,Black,Black,38564.444
infiniti,q50,2019,51091,21333,1,0,White,Gray,43130.556
audi,a4,2018,50012,23222,2,1,Black,Black,39752.0
honda,civic,2022,22376,28067,1,0,Black,Black,22517.941
toyota,corolla,2021,27730,20194,1,0,White,Black,20221.176
subaru,outback,2021,24585,28998,1,0,Black,Beige,29622.25
acura,rdx,2018,29848,24998,3,1,Black,Black,39232.5
nissan,versa,2020,23906,16998,1,0,Gray,Black,14660.625
toyota,camry,2021,35679,22007,1,0,Gray,Black,26952.895
honda,accord,2020,25894,22598,1,1,White,Beige,27886.067
toyota,highlander,2022,214,39333,1,0,Blue,Black,37219.773
hyundai,tucson,2018,93594,16998,1,0,Gray,Black,25970.833
subaru,forester,2017,84165,16500,1,0,Red,Gray,27336.667
mercedes-benz,c-class,2019,16529,28998,1,1,Black,Black,49298.378
subaru,forester,2021,52224,24099,1,0,Black,Black,27336.667
dodge,challenger,2018,49734,22998,2,0,White,Black,39230.455
mercedes-benz,e-class,2021,13384,40745,1,0,White,White,61857.143
ford,edge,2013,98885,9500,1,0,White,Gray,34236.818
bmw,x5,2022,21808,46998,1,0,Gray,Black,60308.333
mercedes-benz,gla,2019,34972,22142,2,0,Black,Black,38564.444
toyota,camry,2012,96502,14998,4,1,Red,Gray,26952.895
volkswagen,beetle,2013,87335,9990,1,0,White,Black,26100.933
honda,pilot,2017,42051,29998,1,0,Silver,Black,36904.167
chrysler,pacifica,2020,64659,25998,1,0,White,Black,31424.412
toyota,rav4,2022,77425,24898,1,0,White,Black,28789.167
toyota,yaris ia,2017,72367,10850,3,0,Blue,Black,16500.0
honda,accord,2016,95261,17998,2,1,Black,Black,27886.067
mercedes-benz,c-class,2021,30045,29888,1,0,Silver,Black,49298.378
ford,explorer,2018,47760,22333,2,0,White,Black,38451.304
mercedes-benz,gla,2021,14653,24999,3,0,Black,Black,38564.444
volkswagen,beetle,2013,96672,10927,3,1,Black,Black,26100.933
bmw,3 series,2011,127089,7995,3,1,Silver,Black,40897.059
toyota,tacoma,2021,21044,33998,1,0,Black,Gray,30318.438
toyota,highlander,2021,64785,29469,1,0,Gray,Black,37219.773
dodge,challenger,2019,64587,21449,1,1,Gray,Black,39230.455
toyota,corolla,2021,12170,20442,1,1,Silver,Black,20221.176
toyota,camry,2015,101711,15998,2,1,Silver,Black,26952.895
mercedes-benz,e-class,2019,41075,26991,1,1,Black,Black,61857.143
toyota,corolla,2021,24212,20394,1,0,White,Black,20221.176
volvo,xc90,2021,17269,48991,1,0,Black,Black,50794.118
mazda,cx-5,2020,42700,23998,1,0,Red,Beige,25403.966
toyota,corolla,2015,30778,14790,2,1,Black,Black,20221.176
bmw,3 series,2017,72071,17998,2,0,Black,Black,40897.059
mercedes-benz,c-class,2023,10109,39776,1,0,Silver,Black,49298.378
subaru,outback,2021,14618,28097,1,0,Black,Gray,29622.25
toyota,corolla,2021,62665,17000,1,0,Black,Black,20221.176
volkswagen,tiguan,2020,46797,20998,1,0,Red,Black,31650.962
honda,accord,2018,34889,24400,2,0,Blue,Black,27886.067
bmw,x5,2020,33059,37999,1,0,White,Black,60308.333
mercedes-benz,gle,2021,33257,39591,1,0,Silver,Beige,73775.455
kia,soul,2022,33047,16988,1,0,White,Black,18046.667
chevrolet,silverado 1500,2018,50079,24777,4,0,White,Black,38876.218
toyota,sienna,2020,10093,35666,1,1,Silver,Black,37672.843
mercedes-benz,c-class,2018,55367,24166,2,0,White,Black,49298.378
chevrolet,malibu,2022,41386,19998,1,1,Silver,Black,25704.737
audi,q7,2023,2738,53155,1,0,Black,Black,57373.333
volkswagen,tiguan,2021,28914,18993,1,0,White,Black,31650.962
ford,explorer,2022,28520,26800,1,0,White,Black,38451.304
nissan,versa,2021,62103,15641,1,0,Blue,Gray,14660.625
mercedes-benz,e-class,2021,15900,36591,1,0,Red,Beige,61857.143
ford,explorer,2020,44609,24595,2,1,Black,Black,38451.304
volkswagen,jetta,2019,33822,15444,1,0,Black,Black,23953.525
toyota,highlander,2021,16775,40222,1,0,Red,Black,37219.773
toyota,4runner,2021,62820,27600,1,0,Red,Black,38221.346
